Serie,t,d,ans,min,med,max,av_time
1,204,1.04756e+06,87,215.082,216.314,222.834,217.103
1,404,1.04754e+06,170,214.766,215.067,215.905,215.098
1,604,1.04752e+06,305,214.199,214.672,216.523,214.722
1,804,1.0475e+06,419,214.785,214.897,215.555,215.05
1,1004,1.04748e+06,530,214.512,214.622,214.871,214.639
1,1204,1.04746e+06,686,214.292,214.353,214.563,214.353
1,1404,1.04744e+06,815,215.325,215.564,216.146,215.625
1,1604,1.04742e+06,982,215.227,215.842,216.498,215.839
1,1804,1.0474e+06,1165,216.172,217.105,224.268,217.685
1,2004,1.04738e+06,1340,216.08,217.981,219.736,217.824
2,204,2.09613e+06,59,416.642,432.964,507.977,438.562
2,404,2.09611e+06,123,441.472,451.589,635.744,479.009
2,604,2.09609e+06,186,441.66,444.214,460.973,445.234
2,804,2.09607e+06,249,438.651,440.548,442.618,440.471
2,1004,2.09605e+06,328,441.073,442.426,445.781,442.674
2,1204,2.09603e+06,394,436.311,437.899,438.651,437.543
2,1404,2.09601e+06,464,443.718,444.906,458.292,446.86
2,1604,2.09599e+06,538,441.207,442.871,443.484,442.513
2,1804,2.09597e+06,623,443.501,444.874,472.483,448.682
2,2004,2.09595e+06,723,442.091,443.224,454.138,444.333
3,204,3.14471e+06,42,628.686,642.366,697.276,645.197
3,404,3.14469e+06,79,657.853,704.696,848.075,717.957
3,604,3.14467e+06,121,663.703,670.729,725.705,675.545
3,804,3.14465e+06,143,655.827,659.508,681.925,663.651
3,1004,3.14463e+06,176,661.53,662.796,699.871,667.128
3,1204,3.14461e+06,226,655.417,658.838,661.442,658.405
3,1404,3.14459e+06,280,671.781,673.246,679.998,674.301
3,1604,3.14457e+06,350,668.113,669.278,670.344,669.005
3,1804,3.14455e+06,408,670.306,670.497,670.718,670.521
3,2004,3.14453e+06,466,667.546,668.286,671.357,668.898
4,204,4.19328e+06,21,741.306,742.977,753.554,744.019
4,404,4.19326e+06,42,904.837,911.282,928.161,912.154
4,604,4.19324e+06,70,914.626,980.685,1044.38,965.578
4,804,4.19322e+06,107,908.676,915.665,976.906,920.635
4,1004,4.1932e+06,143,915.883,918.475,920.866,918.307
4,1204,4.19318e+06,166,904.5,906.836,922.644,908.203
4,1404,4.19316e+06,211,902.924,904.025,930.76,907.568
4,1604,4.19314e+06,261,909.284,911.358,919.169,911.832
4,1804,4.19312e+06,307,908.858,911.54,917.161,911.505
4,2004,4.1931e+06,355,909.816,911.051,913.602,911.114
5,204,5.24186e+06,20,927.284,929.46,938.349,930.785
5,404,5.24184e+06,46,1118.65,1122.77,1135.87,1124.76
5,604,5.24182e+06,67,1120.49,1122.9,1179.57,1129.33
5,804,5.2418e+06,92,1128.98,1181.25,1328.27,1192.26
5,1004,5.24178e+06,121,1131.89,1151.49,1209.53,1153.37
5,1204,5.24176e+06,147,1122.34,1130.61,1154.86,1134.2
5,1404,5.24174e+06,180,1121.73,1129.48,1216.87,1139.76
5,1604,5.24172e+06,226,1138.15,1141.01,1142.14,1140.67
5,1804,5.2417e+06,259,1137.31,1147.23,1153.59,1145.12
5,2004,5.24168e+06,296,1138.13,1149.52,1180.66,1150.24
